,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
503,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
504,Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
505,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
506,Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
507,José Urquidy,HOU,SP,03/15/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
508,Riley O'Brien,STL,RP,03/28/24,Strained forearm flexor,15-Day IL,03/29/24,04/13/24,,No timetable for return
509,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
510,Daniel Bard,COL,RP,Apr '24,Flexor tendon surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
511,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
512,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
513,Luis Robert Jr.,CHW,OF,04/05/24,Strained hip flexor,10-Day IL,04/06/24,04/16/24,,Expected to miss at least 6-8 weeks
514,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
515,Marco Gonzales,PIT,SP,04/13/24,Strained forearm,15-Day IL,04/14/24,04/29/24,,No timetable for return
516,Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,10-Day IL,03/25/24,04/04/24,,No timetable for return
517,DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),10-Day IL,03/25/24,04/04/24,,No timetable for return
518,Sawyer Gipson-Long,DET,SP,Feb '24,Strained groin,15-Day IL,03/25/24,04/09/24,,No timetable for return
519,Eloy Jiménez,CHW,OF,03/31/24,Strained groin,Activated,04/02/24,04/12/24,04/15/24,Activated
520,Yoán Moncada,CHW,3B,04/09/24,Strained groin,60-Day IL,04/10/24,06/09/24,,Likely out until at least mid-July
521,Jon Berti,NYY,INF/OF,04/10/24,Strained groin,10-Day IL,04/11/24,04/21/24,,No timetable for return
522,J.D. Davis,OAK,3B/1B,04/14/24,Strained groin,10-Day IL,04/15/24,04/25/24,,No timetable for return
523,Caleb Thielbar,MIN,RP,Feb '24,Strained hamstring,Activated,03/25/24,04/09/24,04/14/24,Activated
524,Bryan Mata,BOS,RP,02/24/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,No timetable for return
525,Max Kranick,NYM,SP,02/26/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
526,Vaughn Grissom,BOS,INF,03/01/24,Strained hamstring,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
527,Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
528,Jake Brentz,KCR,RP,03/09/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Out at least 6 weeks
529,Justin Steele,CHC,SP,03/28/24,Strained hamstring,15-Day IL,03/29/24,04/13/24,,Out at least 1 month
530,Alek Thomas,ARI,OF,03/31/24,Strained hamstring,10-Day IL,04/01/24,04/11/24,,No timetable for return
531,Victor Robles,WSN,OF,04/03/24,Strained hamstring,10-Day IL,04/04/24,04/14/24,,No timetable for return
532,Andy Ibáñez,DET,INF/OF,04/07/24,Strained hamstring,10-Day IL,04/08/24,04/18/24,,No timetable for return
533,Ben Lively,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/17/24,Activated
534,Xzavion Curry,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/15/24,Activated
535,Colin Holderman,PIT,RP,Mar '24,Illness,Activated,03/25/24,04/09/24,04/11/24,Activated
536,Tucupita Marcano,SDP,INF/OF,08/09/23,Knee surgery (torn ACL),10-Day IL,03/17/24,04/02/24,,No timetable for return
537,Sean Newcomb,OAK,SP,12/20/23,Arthroscopic knee surgery,60-Day IL,03/25/24,05/24/24,,No timetable for return
538,Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),60-Day IL,03/28/24,05/27/24,,Out 8-12 months
539,McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
540,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
541,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
542,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
543,Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),15-Day IL,03/25/24,04/09/24,,Likely out until late May
544,Jason Delay,PIT,C,03/31/24,Knee inflammation,10-Day IL,04/01/24,04/11/24,,No timetable for return
545,Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,10-Day IL,04/04/24,04/14/24,,Expected to miss at least 1 month
546,Max Kepler,MIN,OF,04/06/24,Knee contusion,10-Day IL,04/07/24,04/22/24,,Rehab assignment (4/18)
547,Collin Snider,SEA,RP,04/07/24,Knee contusion,15-Day IL,04/08/24,04/23/24,,No timetable for return
548,Jonathan Hernández,TEX,RP,10/01/23,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
549,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
550,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
551,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
552,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
553,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
554,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
555,Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
556,Matt Foster,CHW,RP,Apr '23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
557,Carson Coleman,TEX,RP,Apr '23,Elbow surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
558,JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
559,Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
560,Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
561,Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
562,Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
563,Germán Márquez,COL,SP,05/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
564,José Quijada,LAA,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
565,Austin Warren,SFG,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
566,Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
567,Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
568,Penn Murfee,HOU,RP,Jun '23,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,No timetable for return
569,Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
570,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
571,Drew Rasmussen,TBR,SP,Jul '23,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Expected to miss at least 12 months
572,Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
573,Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
574,Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
575,Tucupita Marcano,SDP,INF/OF,08/09/23,Knee surgery (torn ACL),10-Day IL,03/17/24,04/02/24,,No timetable for return
576,Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
577,Stone Garrett,WSN,OF,08/23/23,Fractured leg (fibula),10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/13)
578,Freddy Tarnok,OAK,SP,08/30/23,Hip surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
579,Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
580,Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
581,Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),60-Day IL,03/28/24,05/27/24,,No timetable for return
582,Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
583,Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Expected to miss 9-10 months
584,Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
585,John Means,BAL,SP,Oct '23,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/31)
586,Tommy Edman,STL,OF/INF,Oct '23,Arthroscopic wrist surgery,10-Day IL,03/25/24,04/04/24,,No timetable for return
587,Jonathan Hernández,TEX,RP,10/01/23,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
588,Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
589,Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
590,Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
591,Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
592,Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
593,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
594,Taylor Walls,TBR,INF,10/30/23,Hip surgery (labrum repair),10-Day IL,03/25/24,04/04/24,,No timetable for return
595,Alex Cobb,SFG,SP,10/31/23,Hip surgery (labrum repair),15-Day IL,03/25/24,04/09/24,,Out at least 6 months
596,Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,60-Day IL,03/20/24,05/19/24,,Out for at least 1st half
597,David Peterson,NYM,SP,11/06/23,Hip surgery (labrum repair),60-Day IL,03/28/24,05/27/24,,Expected to miss 6-7 months
598,Scott Effross,NYY,RP,Dec '23,Back surgery,60-Day IL,03/28/24,05/27/24,,Out until at least June
599,Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
600,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
601,Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),15-Day IL,03/25/24,04/09/24,,Out until at least June
602,Sean Newcomb,OAK,SP,12/20/23,Arthroscopic knee surgery,60-Day IL,03/25/24,05/24/24,,No timetable for return
603,Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
604,Kyle Bradish,BAL,SP,Jan '24,Sprained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/16)
605,Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
606,Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),60-Day IL,03/28/24,05/27/24,,Out 8-12 months
607,Sam Moll,CIN,RP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/29)
608,Alex Young,CIN,RP,Feb '24,Back tightness,15-Day IL,03/25/24,04/09/24,,No timetable for return
609,Ian Gibaut,CIN,RP,Feb '24,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
610,James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
611,Sawyer Gipson-Long,DET,SP,Feb '24,Strained groin,15-Day IL,03/25/24,04/09/24,,No timetable for return
612,Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
613,Shawn Dubin,HOU,SP,Feb '24,Strained forearm,Activated,03/25/24,04/09/24,04/13/24,Activated
614,Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,15-Day IL,03/25/24,04/09/24,,No timetable for return
615,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
616,JT Chargois,MIA,RP,Feb '24,Neck spasms,15-Day IL,03/25/24,04/09/24,,No timetable for return
617,Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
618,Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
619,Caleb Thielbar,MIN,RP,Feb '24,Strained hamstring,Activated,03/25/24,04/09/24,04/14/24,Activated
620,Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),60-Day IL,03/25/24,05/24/24,,No timetable for return
621,McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
622,Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),15-Day IL,03/17/24,04/07/24,,No timetable for return
623,Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),15-Day IL,03/25/24,04/09/24,,No timetable for return
624,Matt Brash,SEA,RP,02/20/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
625,Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),60-Day IL,03/25/24,05/24/24,,No timetable for return
626,Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),60-Day IL,03/25/24,05/24/24,,No timetable for return
627,Bryan Mata,BOS,RP,02/24/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,No timetable for return
628,Michael Stefanic,LAA,INF,02/24/24,Strained quad,10-Day IL,03/25/24,04/04/24,,No timetable for return
629,Jimmy Lambert,CHW,RP,02/25/24,Strained shoulder (rotator cuff),60-Day IL,03/28/24,05/27/24,,No timetable for return
630,Max Kranick,NYM,SP,02/26/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
631,Aledmys Díaz,OAK,INF/OF,02/26/24,Strained calf,60-Day IL,03/25/24,05/24/24,,No timetable for return
632,Josh Simpson,MIA,RP,02/27/24,Elbow ulnar neuritis,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/6)
633,Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
634,Sean Hjelle,SFG,SP,02/28/24,Strained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
635,Vaughn Grissom,BOS,INF,03/01/24,Strained hamstring,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
636,Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
637,Ben Lively,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/17/24,Activated
638,Trevor Stephan,CLE,RP,Mar '24,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
639,Xzavion Curry,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/15/24,Activated
640,Gerrit Cole,NYY,SP,03/01/24,Elbow inflammation,60-Day IL,03/28/24,05/27/24,,Expected to miss at least 10-12 weeks
641,Dylan Covey,PHI,RP,03/01/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
642,Michael Rucker,PHI,RP,03/01/24,Finger numbness,15-Day IL,03/25/24,04/09/24,,No timetable for return
643,Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
644,Yasmani Grandal,PIT,C,Mar '24,Plantar fascitis,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/16)
645,Colin Holderman,PIT,RP,Mar '24,Illness,Activated,03/25/24,04/09/24,04/11/24,Activated
646,Sam Haggerty,SEA,INF/OF,Mar '24,Medical procedure,Activated,03/25/24,04/04/24,04/17/24,Activated
647,Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
648,Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
649,Jose A. Ferrer,WSN,RP,Mar '24,Strained upper back,60-Day IL,03/28/24,05/27/24,,No timetable for return
650,Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,60-Day IL,03/17/24,05/22/24,,No timetable for return
651,Lars Nootbaar,STL,OF,03/02/24,Non-displaced rib fractures,Activated,03/25/24,04/04/24,04/11/24,Activated
652,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
653,Tristan Beck,SFG,SP,03/04/24,Vascular surgery (upper arm aneurysm),60-Day IL,03/28/24,05/27/24,,No timetable for return
654,Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
655,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
656,Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,10-Day IL,03/25/24,04/04/24,,No timetable for return
657,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
658,Ji Hwan Bae,PIT,INF/OF,03/05/24,Strained hip,Activated,03/25/24,04/04/24,04/15/24,Activated
659,Nathaniel Lowe,TEX,1B,03/05/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
660,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
661,Scott Alexander,OAK,RP,03/06/24,Stress reaction in rib,15-Day IL,03/25/24,04/09/24,,No timetable for return
662,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
663,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
664,Sam Hentges,CLE,SP,03/08/24,Finger inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
665,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
666,Jake Brentz,KCR,RP,03/09/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Out at least 6 weeks
667,Blake Treinen,LAD,RP,03/09/24,Bruised lung,15-Day IL,03/17/24,04/07/24,,No timetable for return
668,Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
669,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
670,Jonny DeLuca,TBR,OF,03/10/24,Fractured hand,10-Day IL,03/25/24,04/04/24,,No timetable for return
671,Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
672,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
673,Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
674,Rob Refsnyder,BOS,OF,03/12/24,Fractured toe,Activated,03/25/24,04/04/24,04/18/24,Activated
675,Josh Taylor,KCR,RP,03/12/24,Biceps soreness,60-Day IL,03/25/24,05/24/24,,No timetable for return
676,Taj Bradley,TBR,SP,03/12/24,Strained pectoral,15-Day IL,03/25/24,04/09/24,,No timetable for return
677,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
678,Jhoan Duran,MIN,RP,03/13/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
679,Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
680,Luis Patiño,SDP,RP,03/13/24,Elbow inflammation,15-Day IL,03/17/24,04/07/24,,No timetable for return
681,Ethan Small,SFG,RP,03/13/24,Strained oblique,60-Day IL,03/28/24,05/27/24,,No timetable for return
682,Danny Jansen,TOR,C,03/13/24,Fractured pisiform bone (right wrist),Activated,03/25/24,04/04/24,04/15/24,Activated
683,Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
684,José Urquidy,HOU,SP,03/15/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
685,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
686,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
687,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
688,Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
689,TJ Friedl,CIN,OF,03/16/24,Non-displaced wrist fracture,10-Day IL,03/25/24,04/04/24,,Expected to miss 6-8 weeks
690,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
691,DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),10-Day IL,03/25/24,04/04/24,,No timetable for return
692,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
693,Jonathan Aranda,TBR,INF/OF,03/17/24,Fractured finger (right ring),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
694,Josh Lowe,TBR,OF,03/17/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/18)
695,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
696,Max Stassi,CHW,C,03/20/24,Hip inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
697,Oliver Ortega,HOU,RP,03/21/24,Elbow surgery (loose body removal),60-Day IL,03/25/24,05/24/24,,Expected to miss 3-4 months
698,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
699,Paul Sewald,ARI,RP,03/23/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
700,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
701,Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
702,Garrett Mitchell,MIL,OF,03/24/24,Fractured finger (left index),60-Day IL,03/25/24,05/24/24,,Likely out until early June
703,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
704,Josh Staumont,MIN,RP,03/25/24,Strained calf,15-Day IL,03/26/24,04/10/24,,Rehab assignment (4/9)
705,Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),10-Day IL,03/26/24,04/05/24,,No timetable for return
706,Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,Out until at least August
707,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
708,Justin Steele,CHC,SP,03/28/24,Strained hamstring,15-Day IL,03/29/24,04/13/24,,Out at least 1 month
709,Royce Lewis,MIN,3B,03/28/24,Strained quad,10-Day IL,03/29/24,04/08/24,,Out at least 1 month
710,Luke Jackson,SFG,RP,03/28/24,Strained lower back,15-Day IL,03/29/24,04/13/24,,No timetable for return
711,Riley O'Brien,STL,RP,03/28/24,Strained forearm flexor,15-Day IL,03/29/24,04/13/24,,No timetable for return
712,Nick Senzel,WSN,3B,03/28/24,Fractured thumb (right),Activated,03/27/24,04/06/24,04/15/24,Activated
713,Sean Murphy,ATL,C,03/29/24,Strained oblique,10-Day IL,03/30/24,04/09/24,,No timetable for return
714,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
715,Cionel Pérez,BAL,RP,03/30/24,Strained oblique,15-Day IL,03/31/24,04/15/24,,No timetable for return
716,Jason Heyward,LAD,OF,03/30/24,Lower back tightness,10-Day IL,03/31/24,04/10/24,,No timetable for return
717,Trevor Megill,MIL,RP,03/30/24,Concussion,7-Day IL,03/31/24,04/07/24,,Rehab assignment (4/13)
718,Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),15-Day IL,03/25/24,04/09/24,,Likely out until late May
719,Luis F. Ortiz,PHI,RP,03/30/24,Sprained ankle,15-Day IL,03/31/24,04/15/24,,No timetable for return
720,Alek Thomas,ARI,OF,03/31/24,Strained hamstring,10-Day IL,04/01/24,04/11/24,,No timetable for return
721,Eloy Jiménez,CHW,OF,03/31/24,Strained groin,Activated,04/02/24,04/12/24,04/15/24,Activated
722,Tylor Megill,NYM,SP,03/31/24,Strained shoulder,15-Day IL,04/01/24,04/16/24,,No timetable for return
723,Jason Delay,PIT,C,03/31/24,Knee inflammation,10-Day IL,04/01/24,04/11/24,,No timetable for return
724,Daniel Bard,COL,RP,Apr '24,Flexor tendon surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
725,Matt Carpenter,STL,1B,04/01/24,Strained oblique,10-Day IL,04/02/24,04/12/24,,No timetable for return
726,Josh Jung,TEX,3B,04/01/24,Wrist surgery,60-Day IL,04/02/24,06/01/24,,Expected to miss 8-10 weeks
727,Framber Valdez,HOU,SP,04/02/24,Elbow inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
