,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
1841,Sean Newcomb,OAK,SP,12/20/23,Arthroscopic knee surgery,60-Day IL,03/25/24,05/24/24,,No timetable for return
1842,Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
1843,Kyle Bradish,BAL,SP,Jan '24,Sprained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/16)
1844,Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1845,Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),60-Day IL,03/28/24,05/27/24,,Out 8-12 months
1846,Sam Moll,CIN,RP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/29)
1847,Alex Young,CIN,RP,Feb '24,Back tightness,15-Day IL,03/25/24,04/09/24,,No timetable for return
1848,Ian Gibaut,CIN,RP,Feb '24,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
1849,James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
1850,Sawyer Gipson-Long,DET,SP,Feb '24,Strained groin,15-Day IL,03/25/24,04/09/24,,No timetable for return
1851,Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
1852,Shawn Dubin,HOU,SP,Feb '24,Strained forearm,Activated,03/25/24,04/09/24,04/13/24,Activated
1853,Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,15-Day IL,03/25/24,04/09/24,,No timetable for return
1854,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
1855,JT Chargois,MIA,RP,Feb '24,Neck spasms,15-Day IL,03/25/24,04/09/24,,No timetable for return
1856,Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
1857,Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
1858,Caleb Thielbar,MIN,RP,Feb '24,Strained hamstring,Activated,03/25/24,04/09/24,04/14/24,Activated
1859,Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),60-Day IL,03/25/24,05/24/24,,No timetable for return
1860,McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
1861,Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),15-Day IL,03/17/24,04/07/24,,No timetable for return
1862,Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),15-Day IL,03/25/24,04/09/24,,No timetable for return
1863,Matt Brash,SEA,RP,02/20/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1864,Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),60-Day IL,03/25/24,05/24/24,,No timetable for return
1865,Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),60-Day IL,03/25/24,05/24/24,,No timetable for return
1866,Bryan Mata,BOS,RP,02/24/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,No timetable for return
1867,Michael Stefanic,LAA,INF,02/24/24,Strained quad,10-Day IL,03/25/24,04/04/24,,No timetable for return
1868,Jimmy Lambert,CHW,RP,02/25/24,Strained shoulder (rotator cuff),60-Day IL,03/28/24,05/27/24,,No timetable for return
1869,Max Kranick,NYM,SP,02/26/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
1870,Aledmys Díaz,OAK,INF/OF,02/26/24,Strained calf,60-Day IL,03/25/24,05/24/24,,No timetable for return
1871,Josh Simpson,MIA,RP,02/27/24,Elbow ulnar neuritis,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/6)
1872,Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1873,Sean Hjelle,SFG,SP,02/28/24,Strained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
1874,Vaughn Grissom,BOS,INF,03/01/24,Strained hamstring,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
1875,Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1876,Ben Lively,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/17/24,Activated
1877,Trevor Stephan,CLE,RP,Mar '24,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
1878,Xzavion Curry,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/15/24,Activated
1879,Gerrit Cole,NYY,SP,03/01/24,Elbow inflammation,60-Day IL,03/28/24,05/27/24,,Expected to miss at least 10-12 weeks
1880,Dylan Covey,PHI,RP,03/01/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
1881,Michael Rucker,PHI,RP,03/01/24,Finger numbness,15-Day IL,03/25/24,04/09/24,,No timetable for return
1882,Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
1883,Yasmani Grandal,PIT,C,Mar '24,Plantar fascitis,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/16)
1884,Colin Holderman,PIT,RP,Mar '24,Illness,Activated,03/25/24,04/09/24,04/11/24,Activated
1885,Sam Haggerty,SEA,INF/OF,Mar '24,Medical procedure,Activated,03/25/24,04/04/24,04/17/24,Activated
1886,Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
1887,Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1888,Jose A. Ferrer,WSN,RP,Mar '24,Strained upper back,60-Day IL,03/28/24,05/27/24,,No timetable for return
1889,Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,60-Day IL,03/17/24,05/22/24,,No timetable for return
1890,Lars Nootbaar,STL,OF,03/02/24,Non-displaced rib fractures,Activated,03/25/24,04/04/24,04/11/24,Activated
1891,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
1892,Tristan Beck,SFG,SP,03/04/24,Vascular surgery (upper arm aneurysm),60-Day IL,03/28/24,05/27/24,,No timetable for return
1893,Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
1894,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
1895,Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,10-Day IL,03/25/24,04/04/24,,No timetable for return
1896,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
1897,Ji Hwan Bae,PIT,INF/OF,03/05/24,Strained hip,Activated,03/25/24,04/04/24,04/15/24,Activated
1898,Nathaniel Lowe,TEX,1B,03/05/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
1899,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
1900,Scott Alexander,OAK,RP,03/06/24,Stress reaction in rib,15-Day IL,03/25/24,04/09/24,,No timetable for return
1901,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
1902,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
1903,Sam Hentges,CLE,SP,03/08/24,Finger inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1904,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
1905,Jake Brentz,KCR,RP,03/09/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Out at least 6 weeks
1906,Blake Treinen,LAD,RP,03/09/24,Bruised lung,15-Day IL,03/17/24,04/07/24,,No timetable for return
1907,Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1908,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
1909,Jonny DeLuca,TBR,OF,03/10/24,Fractured hand,10-Day IL,03/25/24,04/04/24,,No timetable for return
1910,Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
1911,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
1912,Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1913,Rob Refsnyder,BOS,OF,03/12/24,Fractured toe,Activated,03/25/24,04/04/24,04/18/24,Activated
1914,Josh Taylor,KCR,RP,03/12/24,Biceps soreness,60-Day IL,03/25/24,05/24/24,,No timetable for return
1915,Taj Bradley,TBR,SP,03/12/24,Strained pectoral,15-Day IL,03/25/24,04/09/24,,No timetable for return
1916,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
1917,Jhoan Duran,MIN,RP,03/13/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
1918,Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
1919,Luis Patiño,SDP,RP,03/13/24,Elbow inflammation,15-Day IL,03/17/24,04/07/24,,No timetable for return
1920,Ethan Small,SFG,RP,03/13/24,Strained oblique,60-Day IL,03/28/24,05/27/24,,No timetable for return
1921,Danny Jansen,TOR,C,03/13/24,Fractured pisiform bone (right wrist),Activated,03/25/24,04/04/24,04/15/24,Activated
1922,Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
1923,José Urquidy,HOU,SP,03/15/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
1924,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
1925,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1926,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
1927,Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
1928,TJ Friedl,CIN,OF,03/16/24,Non-displaced wrist fracture,10-Day IL,03/25/24,04/04/24,,Expected to miss 6-8 weeks
1929,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
1930,DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),10-Day IL,03/25/24,04/04/24,,No timetable for return
1931,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
1932,Jonathan Aranda,TBR,INF/OF,03/17/24,Fractured finger (right ring),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
1933,Josh Lowe,TBR,OF,03/17/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/18)
1934,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
1935,Max Stassi,CHW,C,03/20/24,Hip inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
1936,Oliver Ortega,HOU,RP,03/21/24,Elbow surgery (loose body removal),60-Day IL,03/25/24,05/24/24,,Expected to miss 3-4 months
1937,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1938,Paul Sewald,ARI,RP,03/23/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
1939,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
1940,Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1941,Garrett Mitchell,MIL,OF,03/24/24,Fractured finger (left index),60-Day IL,03/25/24,05/24/24,,Likely out until early June
1942,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
1943,Josh Staumont,MIN,RP,03/25/24,Strained calf,15-Day IL,03/26/24,04/10/24,,Rehab assignment (4/9)
